w	cs	acs
610	15.8162019874509	12.0203135104627
612	14.1053582272908	10.720072252741
614	15.539031843459	11.8096642010288
616	15.4211489433288	11.7200731969299
618	15.5222691579894	11.796924560072
620	15.494062373518	11.7754874038737
622	16.0842808761662	12.2240534658863
624	16.6584305825054	12.6604072427041
626	17.3482293882937	13.1846543351032
628	16.5485510650246	12.5768988094187
630	17.8477796526488	13.5643125360131
632	17.4514409418605	13.263095115814
634	17.3633510150076	13.1961467714058
636	17.929970694609	13.6267777279028
638	18.2152954641471	13.8436245527518
640	18.8254936335031	14.3073751614624
642	18.0740578553982	13.7362839701026
644	18.2456678899357	13.8667075963511
646	18.2850175577096	13.8966133438593
648	19.47848608236	14.8036494225936
650	20.3302969230946	15.4510256615519
652	20.5601832674191	15.6257392832385
654	21.0926396599652	16.0304061415735
656	21.0544373948049	16.0013724200517
658	21.4335200284584	16.2894752216284
660	21.6827928632919	16.4789225761018
662	20.7512439222375	15.7709453809005
664	20.1730674864852	15.3315312897287
666	18.728750132831	14.2338501009516
668	17.3772784134255	13.2067315942034
670	16.6758455444516	12.6736426137832
672	15.4319042309597	11.7282472155294
674	14.2662380072934	10.842340885543
676	12.4588576771721	9.46873183465083
678	10.4972886486969	7.97793937300964
680	8.84815568583204	6.72459832123235
682	7.52634733569012	5.7200239751245
684	6.56265390197323	4.98761696549966
686	5.31214120081227	4.03722731261733
688	4.70564769030981	3.57629224463546
690	3.71082068264888	2.82022371881315
692	3.210360313395	2.4398738381802
694	2.74928581773432	2.08945722147808
696	2.23266693633698	1.6968268716161
698	1.93263053905788	1.46879920968399
700	1.8029880451642	1.3702709143248
702	1.62268434559944	1.23324010265558
704	1.64704833416613	1.25175673396626
706	1.65490630699269	1.25772879331445
708	1.70588052256983	1.29646919715307
710	1.74759027110245	1.32816860603786
712	1.82766135663832	1.38902263104512
714	1.83631955033792	1.39560285825682
716	1.88860729129742	1.43534154138604
718	2.04363499621506	1.55316259712345
720	2.11429782158234	1.60686634440258
722	2.23055450037629	1.69522142028598
724	2.19597514742744	1.66894111204486
726	2.30616749791023	1.75268729841177
728	2.36431544305245	1.79687973671986
730	2.44439694886929	1.85774168114066
732	2.61252500011264	1.9855190000856
734	2.74314866764454	2.08479298740985
736	2.82681683087224	2.1483807914629
738	3.31011224600144	2.5156853069611
740	3.23254073166997	2.45673095606918
742	3.60398171518631	2.7390261035416
744	3.86380333661729	2.93649053582914
746	3.92955563145725	2.98646227990751
748	4.19270244078242	3.18645385499464
750	4.16816716835676	3.16780704795113
752	4.78426040062984	3.63603790447868
754	5.4421889180393	4.13606357770987
756	5.18688665784722	3.94203385996389
758	5.80219212371631	4.40966601402439
760	6.0188773600732	4.57434679365564
762	6.93404990670909	5.26987792909891
764	5.9526676979606	4.52402745045005
766	6.07981610337963	4.62066023856852
768	6.25829651417583	4.75630535077363
770	6.29291406810068	4.78261469175652
772	6.72172640684276	5.1085120692005
774	7.11652194935782	5.40855668151194
776	7.01823367058473	5.3338575896444
778	7.68603524795644	5.84138678844689
780	8.62025465488522	6.55139353771277
782	9.31538438055619	7.07969212922271
784	9.41462713098136	7.15511661954583
786	10.0019126173161	7.60145358916025
790	10.7247063790625	8.15077684808749
792	9.27858377350372	7.05172366786283
794	10.0178838192148	7.61359170260327
798	11.8972952200677	9.04194436725145
800	11.3909928518359	8.65715456739527
802	12.3066267562989	9.35303633478715
804	12.9460280654475	9.83898132974011
806	11.257038563154	8.55534930799704
808	12.934086733727	9.82990591763255
810	12.9741891926063	9.86038378638079
812	14.6123700864927	11.1054012657344
814	13.5912416973423	10.3293436899801
816	14.2794212767513	10.852360170331
818	14.5186775016178	11.0341949012295
820	18.2137454492813	13.8424465414538
822	17.4448290801974	13.25807010095
824	16.5850113607788	12.6046086341919
826	18.0493041767981	13.7174711743665
828	18.3594447714362	13.9531780262915
830	19.638004314905	14.9248832793278
832	19.2775248521467	14.6509188876315
834	21.311417788564	16.1966775193086
836	20.9696969285108	15.9369696656682
838	20.5892064029738	15.6477968662601
840	20.4188262437741	15.5183079452683
842	21.5615056201	16.386744271276
844	21.8306972784636	16.5913299316323
846	23.4644543735065	17.832985323865
848	22.9604778645378	17.4499631770487
850	24.7535554817959	18.8127021661649
852	26.8116289370258	20.3768379921396
854	26.476298857016	20.1219871313322
856	26.8925071799379	20.4383054567528
858	29.1229354990643	22.1334309792888
860	29.8678454377215	22.6995625326683
862	31.9001700944146	24.2441292717551
864	31.9492117084065	24.2814008983889
866	32.4310872786332	24.6476263317612
868	32.8264262303151	24.9480839350395
870	32.9604357309497	25.0499311555217
872	32.2943576315204	24.5437117999555
874	32.5602117869883	24.7457609581111
876	32.7816776057218	24.9140749803486
878	30.5090760147208	23.1868977711878
880	31.8951353453629	24.2403028624758
882	32.9543854222111	25.0453329208804
884	32.1027869134893	24.3981180542519
886	32.2710317533415	24.5259841325395
888	34.2543809416038	26.0333295156189
890	32.8672146128387	24.9790831057574
892	34.7390190883353	26.4016545071348
894	34.2998864937885	26.0679137352793
896	35.3308635156234	26.8514562718738
898	34.9592836270664	26.5690555565705
900	36.0806147079525	27.4212671780439
902	35.965419217652	27.3337186054155
904	35.0192907741235	26.6146609883338
906	37.2132193147825	28.2820466792347
908	36.1141797323642	27.4467765965968
910	35.9270702158764	27.304573364066
912	36.2703482145701	27.5654646430732
914	36.4946342275879	27.7359220129668
916	38.0981735849271	28.9546119245446
918	38.82933218003	29.5102924568228
920	39.2285874822459	29.8137264865069
922	38.265380748007	29.0816893684853
924	39.2106304580775	29.8000791481389
926	39.5647511086744	30.0692108425925
928	39.6096135598165	30.1033063054605
930	39.4381537279838	29.9729968332677
932	38.5343315407823	29.2860919709946
934	37.1424494056013	28.228261548257
936	34.8696783902289	26.500955576574
938	35.6842820563799	27.1200543628487
940	35.1106056586272	26.6840603005567
942	33.8865311250254	25.7537636550193
944	33.537192840232	25.4882665585763
946	33.6519795341682	25.5755044459679
948	31.6269155031514	24.0364557823951
950	31.4840471630415	23.9278758439116
952	29.976777172461	22.7823506510704
954	27.8141338712916	21.1387417421816
956	27.5623740017253	20.9474042413112
958	26.842978071979	20.400663334704
960	26.0865329442132	19.825765037602
962	24.3839581604931	18.5318082019748
964	23.3038877310881	17.710954675627
966	21.8197905857642	16.5830408451808
968	22.0817103891228	16.7820998957333
970	21.9246419724861	16.6627278990895
972	20.7803128047011	15.7930377315729
974	19.6678180377543	14.9475417086933
976	17.8220793655942	13.5447803178516
978	17.3758282562789	13.205629474772
980	17.6194831253045	13.3908071752314
982	17.1887458530185	13.063446848294
984	16.0986126369938	12.2349456041153
986	14.6092804105025	11.1030531119819
988	15.2593473284917	11.5971039696537
990	14.3252055907623	10.8871562489794
992	12.7287018174817	9.67381338128612
994	12.4628440894336	9.47176150796953
996	11.2854126706331	8.57691362968119
998	10.0750544714895	7.65704139833206
1000	9.27177520916923	7.04654915896862
1002	8.0555023400566	6.12218177844302
1004	7.32117514247823	5.56409310828345
1006	6.3687840853197	4.84027590484297
1008	5.52628776437678	4.19997870092635
1010	4.91514858554907	3.73551292501729
1012	4.32519187503806	3.28714582502892
1014	4.00165045356506	3.04125434470945
1016	3.49733101202394	2.65797156913819
1018	2.90226788259107	2.20572359076921
1020	2.72012363546863	2.06729396295616
1022	2.43582794851284	1.85122924086976
1024	2.13310416287416	1.62115916378436
1026	1.88541774968913	1.43291748976374
1028	1.69094256589022	1.28511635007657
1030	1.44803970239101	1.10051017381716
1032	1.22179782051893	0.928566343594387
1034	1.04847124521901	0.796838146366446
1036	0.905392203833386	0.688098074913374
1038	0.780247805683145	0.59298833231919
1040	0.682015262030879	0.518331599143468
1042	0.568790552417701	0.432280819837453
1044	0.46384721677688	0.352523884750429
1046	0.392232907316992	0.298097009560914
1048	0.339043130986886	0.257672779550033
1050	0.265070268785684	0.20145340427712
1052	0.238280188075646	0.181092942937491
1054	0.184593226391732	0.140290852057717
1056	0.162046317496609	0.123155201297423
1058	0.145864027657203	0.110856661019474
1060	0.0946348940647013	0.071922519489173
1062	0.107874682616059	0.081984758788205
1064	0.0976740631919212	0.0742322880258601
1066	0.0843127551237206	0.0640776938940276
1068	0.0863296681616765	0.0656105478028741
1070	0.102082246137186	0.0775825070642616
1072	0.0752142745980791	0.0571628486945401
1074	0.0792449717368075	0.0602261785199737
1076	0.0402407195238351	0.0305829468381147
1078	0.0470550781391629	0.0357618593857638
1080	0.0533117645531218	0.0405169410603726
1082	0.0442080188255485	0.0335980943074169
1084	0.0585705305770497	0.0445136032385578
1086	0.0345002725106139	0.0262202071080666
1088	0.0763754136749758	0.0580453143929816
1090	0.087087480682207	0.0661864853184773
1092	0.091704058536866	0.0696950844880181
1094	0.213692640602442	0.162406406857856
1096	0.108934579609965	0.0827902805035731
