w	ems	 
771	0.0329000000000000
772	0.0324000000000000
773	0.0307000000000000
774	0.0305000000000000
775	0.0295000000000000
776	0.0300000000000000
777	0.0295000000000000
778	0.0273000000000000
779	0.0263000000000000
780	0.0270000000000000
781	0.0253000000000000
782	0.0250000000000000
783	0.0264000000000000
784	0.0245000000000000
785	0.0240000000000000
786	0.0234000000000000
787	0.0218000000000000
788	0.0216000000000000
789	0.0217000000000000
790	0.0199000000000000
791	0.0211000000000000
792	0.0200000000000000
793	0.0196000000000000
794	0.0178000000000000
795	0.0175000000000000
796	0.0199000000000000
797	0.0183000000000000
798	0.0166000000000000
799	0.0163000000000000
800	0.0167000000000000
