w	cs	acs
1074	43.76353212	13.129059636
1076	41.76920944	12.530762832
1078	44.07769856	13.223309568
1080	43.66602016	13.099806048
1082	43.97971312	13.193913936
1084	43.21759722	12.965279166
1086	44.02712342	13.208137026
1088	41.7468562	12.52405686
1090	40.57186574	12.171559722
1092	39.00479646	11.701438938
1094	39.29557548	11.788672644
1096	40.186615	12.0559845
1098	38.35392344	11.506177032
1100	38.12733834	11.438201502
1102	37.4159471	11.22478413
1104	36.99506076	11.098518228
1106	35.99242948	10.797728844
1108	35.5155479	10.65466437
1110	34.95558304	10.486674912
1112	34.94907892	10.484723676
1114	32.874464	9.8623392
1116	34.9894867	10.49684601
1118	33.90728586	10.172185758
1120	32.22863728	9.668591184
1122	32.01211986	9.603635958
1124	31.67733212	9.503199636
1126	32.06990934	9.620972802
1128	31.4094795	9.42284385
1130	30.55539634	9.166618902
1132	31.1931116	9.35793348
1134	30.47608844	9.142826532
1136	30.88358028	9.265074084
1138	30.6230043	9.18690129
1140	30.48300374	9.144901122
1142	30.92570754	9.277712262
1144	29.93729312	8.981187936
1146	30.2250942	9.06752826
1148	30.36019798	9.108059394
1150	30.54860564	9.164581692
1152	30.01449528	9.004348584
1154	30.3095107	9.09285321
1156	30.66756126	9.200268378
1158	29.8257512	8.94772536
1160	29.63988538	8.891965614
1162	29.7011512	8.91034536
1164	28.87999982	8.663999946
1166	28.44671578	8.534014734
1168	27.178998	8.1536994
1170	26.15812528	7.847437584
1172	25.728031	7.7184093
1174	24.48179426	7.344538278
1176	23.6993561	7.10980683
1178	22.54258216	6.762774648
1180	21.25530218	6.376590654
1182	20.38376256	6.115128768
1184	19.26925294	5.780775882
1186	18.47168834	5.541506502
1188	17.2643268	5.17929804
1190	16.21368714	4.864106142
1192	15.38078598	4.614235794
1194	14.27570858	4.282712574
1196	13.38961568	4.016884704
1198	12.65546002	3.796638006
1200	11.60976698	3.482930094
1202	10.8300451	3.24901353
1204	9.85665744	2.956997232
1206	9.03814758	2.711444274
1208	8.12278614	2.436835842
1210	7.38643752	2.215931256
1212	6.69722508	2.009167524
1214	5.89752982	1.769258946
1216	5.31303122	1.593909366
1218	4.76182574	1.428547722
1220	4.18168814	1.254506442
1222	3.6928948	1.10786844
1224	3.34741638	1.004224914
1226	2.92489778	0.877469334
1228	2.65550012	0.796650036
1230	2.3597371	0.70792113
1232	2.12048018	0.636144054
1234	1.9040126	0.57120378
1236	1.72967228	0.518901684
1238	1.54657258	0.463971774
1240	1.35330552	0.405991656
1242	1.22981446	0.368944338
1244	1.0828363	0.32485089
1246	0.95788742	0.287366226
1248	0.84948542	0.254845626
1250	0.75562424	0.226687272
1252	0.67239144	0.201717432
1254	0.59214904	0.177644712
1256	0.52783052	0.158349156
1258	0.45867752	0.137603256
1260	0.41281226	0.123843678
1262	0.355733	0.1067199
1264	0.3219041	0.09657123
1266	0.29937642	0.089812926
1268	0.25151756	0.075455268
1270	0.21514682	0.064544046
1272	0.19357856	0.058073568
1274	0.17553648	0.052660944
1276	0.14973182	0.044919546
1278	0.13476736	0.040430208
1280	0.1184946	0.03554838
1282	0.10107552	0.030322656
1284	0.1163764	0.03491292
1286	0.0804916	0.02414748
1288	0.0782488	0.02347464
1290	0.06882904	0.020648712
1292	0.062923	0.0188769
1294	0.05464956	0.016394868
1296	0.04974032	0.014922096
1298	0.04575312	0.013725936
1300	0.0414295	0.01242885
1302	0.03504998	0.010514994
1304	0.03098802	0.009296406
1306	0.02898196	0.008694588
1308	0.02450882	0.007352646
1310	0.0200606	0.00601818
1312	0.01920086	0.005760258
1314	0.01834112	0.005502336
1316	0.01624784	0.004874352
1318	0.01243508	0.003730524
1320	0.01194914	0.003584742
1322	0.01091496	0.003274488
1322	0.00469742	0.001409226
1324	0.0044233	0.00132699
1324	0.00979356	0.002938068
1326	0.00599326	0.001797978
1326	0.01029196	0.003087588
1328	0.00689038	0.002067114
1328	3.29767606E-4	9.89302818E-5
1330	0.00551978	0.001655934
1330	0.0046725	0.00140175
1332	0.00519582	0.001558746
1332	0.0048594	0.00145782
