w	cs	acs
1180	7.34958	3.2338152
1182	6.27237	2.7598428
1184	5.60538	2.4663672
1186	4.3793	1.926892
1188	3.83518	1.6874792
1190	3.09477	1.3616988
1192	3.05203	1.3428932
1194	2.0842	0.917048
1196	1.98862	0.8749928
1198	1.85373	0.8156412
1200	1.74576	0.7681344
1202	1.3676	0.601744
1204	1.21395	0.534138
1206	0.85684	0.3770096
1208	0.80638	0.3548072
1210	0.70712	0.3111328
1212	0.67525	0.29711
1214	0.61459	0.2704196
1216	0.37248	0.1638912
1218	0.32155	0.141482
1220	0.29309	0.1289596
1222	0.25667	0.1129348
1224	0.23432	0.1031008
1226	0.20797	0.0915068
1228	0.18106	0.0796664
1230	0.08262	0.0363528
1232	0.07169	0.0315436
1234	0.06396	0.0281424
1236	0.05769	0.0253836
1238	0.05243	0.0230692
1240	0.04896	0.0215424
1242	0.04336	0.0190784
1244	0.03946	0.0173624
1246	0.03629	0.0159676
1248	0.0343	0.015092
1250	0.03092	0.0136048
1252	0.02439	0.0107316
1254	0.02635	0.011594
1256	0.02345	0.010318
1258	0.02151	0.0094644
1260	0.01781	0.0078364
1262	0.0171	0.007524
1264	0.01538	0.0067672
